DateKey,Date,Year,Quarter,Month,MonthName,Day,Week
20091201,2009-12-01,2009,Q4,12,December,1,49
20091202,2009-12-02,2009,Q4,12,December,2,49
20091203,2009-12-03,2009,Q4,12,December,3,49
20091204,2009-12-04,2009,Q4,12,December,4,49
20091205,2009-12-05,2009,Q4,12,December,5,49
20091206,2009-12-06,2009,Q4,12,December,6,49
20091207,2009-12-07,2009,Q4,12,December,7,50
20091208,2009-12-08,2009,Q4,12,December,8,50
20091209,2009-12-09,2009,Q4,12,December,9,50
20091210,2009-12-10,2009,Q4,12,December,10,50
20091211,2009-12-11,2009,Q4,12,December,11,50
20091213,2009-12-13,2009,Q4,12,December,13,50
20091214,2009-12-14,2009,Q4,12,December,14,51
20091215,2009-12-15,2009,Q4,12,December,15,51
20091216,2009-12-16,2009,Q4,12,December,16,51
20091217,2009-12-17,2009,Q4,12,December,17,51
20091218,2009-12-18,2009,Q4,12,December,18,51
20091220,2009-12-20,2009,Q4,12,December,20,51
20091221,2009-12-21,2009,Q4,12,December,21,52
20091222,2009-12-22,2009,Q4,12,December,22,52
20091223,2009-12-23,2009,Q4,12,December,23,52
20100104,2010-01-04,2010,Q1,1,January,4,1
20100105,2010-01-05,2010,Q1,1,January,5,1
20100106,2010-01-06,2010,Q1,1,January,6,1
20100107,2010-01-07,2010,Q1,1,January,7,1
20100108,2010-01-08,2010,Q1,1,January,8,1
20100110,2010-01-10,2010,Q1,1,January,10,1
20100111,2010-01-11,2010,Q1,1,January,11,2
20100112,2010-01-12,2010,Q1,1,January,12,2
20100113,2010-01-13,2010,Q1,1,January,13,2
20100114,2010-01-14,2010,Q1,1,January,14,2
20100115,2010-01-15,2010,Q1,1,January,15,2
20100117,2010-01-17,2010,Q1,1,January,17,2
20100118,2010-01-18,2010,Q1,1,January,18,3
20100119,2010-01-19,2010,Q1,1,January,19,3
20100120,2010-01-20,2010,Q1,1,January,20,3
20100121,2010-01-21,2010,Q1,1,January,21,3
20100122,2010-01-22,2010,Q1,1,January,22,3
20100124,2010-01-24,2010,Q1,1,January,24,3
20100125,2010-01-25,2010,Q1,1,January,25,4
20100126,2010-01-26,2010,Q1,1,January,26,4
20100127,2010-01-27,2010,Q1,1,January,27,4
20100128,2010-01-28,2010,Q1,1,January,28,4
20100129,2010-01-29,2010,Q1,1,January,29,4
20100131,2010-01-31,2010,Q1,1,January,31,4
20100201,2010-02-01,2010,Q1,2,February,1,5
20100202,2010-02-02,2010,Q1,2,February,2,5
20100203,2010-02-03,2010,Q1,2,February,3,5
20100204,2010-02-04,2010,Q1,2,February,4,5
20100205,2010-02-05,2010,Q1,2,February,5,5
20100207,2010-02-07,2010,Q1,2,February,7,5
20100208,2010-02-08,2010,Q1,2,February,8,6
20100209,2010-02-09,2010,Q1,2,February,9,6
20100210,2010-02-10,2010,Q1,2,February,10,6
20100211,2010-02-11,2010,Q1,2,February,11,6
20100212,2010-02-12,2010,Q1,2,February,12,6
20100214,2010-02-14,2010,Q1,2,February,14,6
20100215,2010-02-15,2010,Q1,2,February,15,7
20100216,2010-02-16,2010,Q1,2,February,16,7
20100217,2010-02-17,2010,Q1,2,February,17,7
20100218,2010-02-18,2010,Q1,2,February,18,7
20100219,2010-02-19,2010,Q1,2,February,19,7
